group,Canais | Globo Sudeste
Fishtv.br,Fish TV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/248
ext,FOX Sports 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118751
Off.br,OFF HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/252
ext,Band Sports HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/234
ext,Combate HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/239
ext,FOX Sports 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/118751
Off.br,OFF HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/252
ext,Ge Fast HD,https://dxmy6u2c9ad0l.cloudfront.net/03.m3u8?ManoTV

group,Canais | Infantil
Cartoonnetwork.br,Cartoon Network HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/351
Cartoonito.uk,Cartoonito,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/110683
Discoverykids.br,Discovery Kids HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/363
Disneychannel.br,Disney Channel HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/356
Gloob.br,Gloob HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/380
ext,Gloobinho HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/383
NickJr.br,Nick Jr. HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/367
Nickelodeon.br,Nickelodeon HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/372
ext,Chespirito,http://168.205.87.198:8555/live/1492/123456/159.m3u8?ManoTV
Tvratimbum.br,TV Ratimbum,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/375
ext,TVZYN,https://d25usgadhphvwi.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-5w3mfvzg9saoi/playlist.m3u8
ext,Zoomoo HD,https://cdn-1.nxplay.com.br/ZOOMOO_HD_NX_TK/index.m3u8
ext,DREAM WORKS,https://cdn-3.nxplay.com.br/DREAMWORKS/tracks-v2a1/mono.m3u8
ext,Ministério Infantil TV,https://stmv4.voxtvhd.com.br/1990/1990/playlist.m3u8
ext,Peppa Pig YT,https://ythls.armelin.one/channel/UCvD9GB-E4q_TuMpwUtFBhLA.m3u8
ext,Um Maluco no Pedaço 24h,http://24hrs.homelinux.com:80/24H-ummaluconopedaco/video.m3u8
ext,Os Trapalhões 24h,http://24hrs.homelinux.com:80/24H-ostrapalhoes/video.m3u8
ext,2 Homens e Meio 24h,http://24hrs.homelinux.com:80/24H-2HomensEmeio/video.m3u8
ext,Todo Mundo Odeia O Cris 24h,http://24hrs.homelinux.com:80/24H-todomundoodeiaocris/video.m3u8
ext,Pegadinhas Silvio Santos 24h,http://24hrs.homelinux.com:80/24H-pegadihassilviosantos.txt/video.m3u8?token=a4A2wbotS3
ext,Peppa Pig 24h,http://24hrs.homelinux.com:80/24H-Peppa.Pig.S01.S02.S03.S04/video.m3u8
ext,Chaves 24h,http://24hrs.homelinux.com:80/24H-chaves-a-serie/video.m3u8?token=a4A2wbotS3
ext,DRAGON BALL Z,http://24hrs.homelinux.com:80/24H-dragon.ball.z/video.m3u8?token=a4A2wbotS3
ext,Tom & Jerry 24h,http://24hrs.homelinux.com:80/24H-tom-e-jerry/video.m3u8?token=a4A2wbotS3
ext,Scoobdoo 24h,http://24hrs.homelinux.com:80/24H-scoobdoo/video.m3u8?token=a4A2wbotS3
ext,Popeye 24h,http://24hrs.homelinux.com:80/24H-Popeye.S01/video.m3u8?token=a4A2wbotS3
ext,Os Simpsons 24h,http://24hrs.homelinux.com:80/24H-ossimpsons/video.m3u8?token=a4A2wbotS3
ext,X-Men Evolution 24h,http://24hrs.homelinux.com:80/24H-X-Men.Evolution.S01-S02-S03-S04/video.m3u8?token=a4A2wbotS3
ext,PicaPau 24h,http://24hrs.homelinux.com:80/24H-picapau/video.m3u8?token=a4A2wbotS3
ext,Cavaleiros Zodiaco 24h,http://24hrs.homelinux.com:80/24H-cavaleiros/video.m3u8?token=a4A2wbotS3
ext,Os Flistony 24h,http://24hrs.homelinux.com:80/24H-osflistony/video.m3u8?token=a4A2wbotS3
ext,Masha e o Urso 24h,http://24hrs.homelinux.com:80/24H-Masha.e.o.Urso.S01eS02eS03/video.m3u8
ext,Caverna do Dragão 24h,http://24hrs.homelinux.com:80/24H-Caverna.do.dragao.S01E01/playlist.m3u8
Cartoonnetwork.br,Cartoon Network HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/351
Cartoonito.uk,Cartoonito,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/110683
Discoverykids.br,Discovery Kids HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/363
Disneychannel.br,Disney Channel HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/356
Gloob.br,Gloob HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/380
ext,Gloobinho HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/383
NickJr.br,Nick Jr. HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/367
Nickelodeon.br,Nickelodeon HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/372
ext,Chespirito,http://168.205.87.198:8555/live/1492/123456/159.m3u8?ManoTV
Tvratimbum.br,TV Ratimbum,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/375
ext,TVZYN,https://d25usgadhphvwi.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-5w3mfvzg9saoi/playlist.m3u8
ext,Zoomoo HD,https://cdn-1.nxplay.com.br/ZOOMOO_HD_NX_TK/index.m3u8
ext,DREAM WORKS,https://cdn-3.nxplay.com.br/DREAMWORKS/tracks-v2a1/mono.m3u8
ext,Ministério Infantil TV,https://stmv4.voxtvhd.com.br/1990/1990/playlist.m3u8
ext,Peppa Pig YT,https://ythls.armelin.one/channel/UCvD9GB-E4q_TuMpwUtFBhLA.m3u8
ext,Um Maluco no Pedaço 24h,http://24hrs.homelinux.com:80/24H-ummaluconopedaco/video.m3u8
ext,Os Trapalhões 24h,http://24hrs.homelinux.com:80/24H-ostrapalhoes/video.m3u8
ext,2 Homens e Meio 24h,http://24hrs.homelinux.com:80/24H-2HomensEmeio/video.m3u8
ext,Todo Mundo Odeia O Cris 24h,http://24hrs.homelinux.com:80/24H-todomundoodeiaocris/video.m3u8
ext,Pegadinhas Silvio Santos 24h,http://24hrs.homelinux.com:80/24H-pegadihassilviosantos.txt/video.m3u8?token=a4A2wbotS3
ext,Peppa Pig 24h,http://24hrs.homelinux.com:80/24H-Peppa.Pig.S01.S02.S03.S04/video.m3u8
ext,Chaves 24h,http://24hrs.homelinux.com:80/24H-chaves-a-serie/video.m3u8?token=a4A2wbotS3
ext,DRAGON BALL Z,http://24hrs.homelinux.com:80/24H-dragon.ball.z/video.m3u8?token=a4A2wbotS3
ext,Tom & Jerry 24h,http://24hrs.homelinux.com:80/24H-tom-e-jerry/video.m3u8?token=a4A2wbotS3
ext,Scoobdoo 24h,http://24hrs.homelinux.com:80/24H-scoobdoo/video.m3u8?token=a4A2wbotS3
ext,Popeye 24h,http://24hrs.homelinux.com:80/24H-Popeye.S01/video.m3u8?token=a4A2wbotS3
ext,Os Simpsons 24h,http://24hrs.homelinux.com:80/24H-ossimpsons/video.m3u8?token=a4A2wbotS3
ext,X-Men Evolution 24h,http://24hrs.homelinux.com:80/24H-X-Men.Evolution.S01-S02-S03-S04/video.m3u8?token=a4A2wbotS3
ext,PicaPau 24h,http://24hrs.homelinux.com:80/24H-picapau/video.m3u8?token=a4A2wbotS3
ext,Cavaleiros Zodiaco 24h,http://24hrs.homelinux.com:80/24H-cavaleiros/video.m3u8?token=a4A2wbotS3
ext,Os Flistony 24h,http://24hrs.homelinux.com:80/24H-osflistony/video.m3u8?token=a4A2wbotS3
ext,Masha e o Urso 24h,http://24hrs.homelinux.com:80/24H-Masha.e.o.Urso.S01eS02eS03/video.m3u8
ext,Caverna do Dragão 24h,http://24hrs.homelinux.com:80/24H-Caverna.do.dragao.S01E01/playlist.m3u8

group,Canais | Discovery
ext,Disc. Science HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2581
ext,Disc. Theater HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2586
ext,Disc. Turbo HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2591
ext,Disc. World HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2596
ext,Disc. Channel HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2576
ext,Disc. Home &  Health HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2571
ext,Disc. Science HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2581
ext,Disc. Theater HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2586
ext,Disc. Turbo HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2591
ext,Disc. World HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2596

group,Canais |  Variedades
E.br,E! HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2471
fashion,Fashion TV FHD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2476
Foodnetworkhd.br,Food Network HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2479
Gnthd.br,GNT HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2483
Lifetime.br,Lifetime HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2487
ext,Modo Viagem HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/89182
Mtv.br,MTV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2503
Multishow.br,Multishow HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2515
ext,Music Box Brazil FHD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2520
ext,Prime Box Brazil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2523
Viva.br,Viva HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2536
Bis.br,BIS HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2463
E.br,E! HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2471
Foodnetworkhd.br,Food Network HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2479
Gnthd.br,GNT HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2483
Lifetime.br,Lifetime HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2487
ext,Modo Viagem HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/89182
Mtv.br,MTV HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2503
Multishow.br,Multishow HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2515
ext,Music Box Brazil FHD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2520
ext,Prime Box Brazil HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2523
Viva.br,Viva HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/2536

group,Canais | Star Channel
ext,FX HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/594
ext,FX HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/594
ext,Star Channel HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/21238

group,Canais | HBO
ext,HBO + HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18765
ext,HBO 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18757
ext,HBO FAMILY HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18761
ext,HBO HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18753
ext,HBO MUNDI HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18773
ext,HBO POP HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18781
ext,HBO SIGNATURE HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18769
ext,HBO XTREME HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18777
ext,HBO + HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18765
ext,HBO 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18757
ext,HBO FAMILY HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18761
ext,HBO HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18753
ext,HBO MUNDI HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18773
ext,HBO POP HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18781
ext,HBO SIGNATURE HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18769
ext,HBO XTREME HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/18777

group,Canais | Premiere
ext,Premiere Clubes HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/493
ext,Premiere 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/498
ext,Premiere 3 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/503
ext,Premiere 4 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/508
ext,Premiere 5 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/513
ext,Premiere 6 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/518
ext,Premiere 7 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/523
Premiere8.br,Premiere 8 SD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/526
ext,Premiere Clubes HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/493
ext,Premiere 2 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/498
ext,Premiere 3 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/503
ext,Premiere 4 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/508
ext,Premiere 5 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/513
ext,Premiere 6 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/518
ext,Premiere 7 HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/523
Premiere8.br,Premiere 8 SD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/526

group,Canais |  Religiosos
ext,TV Aparecida HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/189
ext,Rede Vida HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/197
ext,TV Aparecida HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/189

group,Canais | Record
ext,RecordTV SP HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/244076
ext,RecordTV MINAS HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/244099
ext,RecordTV SP HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/244076
ext,RecordTV MINAS HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/244099

group,Canais | SBT
ext,SBT SP HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/244166
ext,SBT SP HD²,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/244166

group,Canais | Band
ext,Band SP HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/255467
ext,Band MG HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/255483
ext,Band SP HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/255467
ext,Band MG HD,http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/255483

group,Canais | Top 15 Cine Sky
ext,Cine Sky 01 [Gato de Botas 2: O Último Pedido],http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/272968
ext,Cine Sky 02 [Pantera Negra: Wakanda Para Sempre],http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/272969
ext,Cine Sky 03 [Alerta Máximo],http://xciptv.aplicativos.top:80/p2puni777/8zksAAJgKEYq/272970
